URLIn,httpStatus,URLOut,Content-Disposition,Content-Type
https://dspace.library.uu.nl/bitstream/1874/87/13/contents.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/contents.pdf;jsessionid=3D5CFF4AAA345679D41D57BAFB0FA9EF?sequence=13,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/14/cv.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/cv.pdf;jsessionid=1E6BCDC6E85D3E276D3417B692684920?sequence=14,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/15/gerwen.jpg,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/gerwen.jpg;jsessionid=0D0460EF59EBD8BD92249197C199BF91?sequence=15,n/a,image/jpeg;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/16/glos.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/glos.pdf;jsessionid=C248D86285E903AD9B820A39F2041989?sequence=16,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/17/index.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/index.pdf;jsessionid=ECC791CF279E830CC34AA56DE0C9DE75?sequence=17,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/18/inhoud.htm,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/inhoud.htm;jsessionid=97E54D417547E5602FC354452860F117?sequence=18,n/a,text/html;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/19/intro.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/intro.pdf;jsessionid=8B03B2F85A8C08E639A042692934C4D7?sequence=19,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/20/part1.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/part1.pdf;jsessionid=6FBBE75DFDA7ED6CD919A147B04BB7E2?sequence=20,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/21/part2.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/part2.pdf;jsessionid=A8CE438079A70EEC0409915EAF7A97D9?sequence=21,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/22/part3.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/part3.pdf;jsessionid=FE4A85C554AD42C106E6323F97A37BFB?sequence=22,n/a,application/pdf;charset=ISO-8859-1
